idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
2,5.815112634835429e-31,true,14,false,0.0005295,"[3.4575423579600852, 1.2643202521710037]","[-1.1220725081141734, 0.7650300179102025]",1,1
5,2.9076061179849506e-31,true,14,false,0.0004834,"[4.700845655800286, 1.2036439751763097]","[0.28758798062385577, -0.12763690272983585]",1,2
13,9.165283570187103e-29,true,14,false,0.0004775,"[3.8144784204178905, 1.2482046796437383]","[-0.031148130349280094, 0.3646547529502906]",1,3
11,2.2591414778943583e-29,true,14,false,0.0004761,"[8.211927377967422, 1.0145423137273863]","[1.2192815097319654, 1.9026327297429109]",1,4
16,6.181769311099268e-30,true,14,false,0.0005411,"[4.415055269730732, 1.2241277710802034]","[-0.8900766562698114, -1.2890210708540353]",1,5
12,3.8532173277358643e-29,true,14,false,0.0005425,"[5.521847655957663, 1.1627456799515605]","[0.29291433452245674, 0.6596379523048166]",1,6
3,1.8513400709870655e-29,true,14,false,0.000528,"[5.169819747472728, 1.2222895589775422]","[-1.1046361023292959, 0.18025374632691527]",1,7
5,8.784187592957883e-30,true,14,false,0.0005374,"[8.120258436185203, 0.9702792493301203]","[0.28758798062385577, -0.12763690272983585]",1,8
6,3.496753924949642e-29,true,14,false,0.0004396,"[4.5600544148536235, 1.2186737276829105]","[0.2298186980518676, 0.4694770042412599]",1,9
6,1.8895937293008552e-28,true,14,false,0.0004484,"[4.257204092233886, 1.2253055246751545]","[0.2298186980518676, 0.4694770042412599]",1,10
10,5.32233602205028e-29,true,14,false,0.0003349,"[1.4690286640341568, 1.418831406030531]","[-0.11732280453081337, -0.8280567719469374]",1,11
19,3.065619333774565e-29,true,14,false,0.0003673,"[7.033349567275502, 1.0363183542643735]","[-0.3188700715740966, -2.249739828113134]",1,12
16,6.171506114512717e-30,true,14,false,0.0003817,"[6.588336829287061, 1.128017922284789]","[-0.8900766562698114, -1.2890210708540353]",1,13
17,1.0212605124056132e-29,true,14,false,0.0004049,"[5.802248856432562, 1.1206328756822033]","[0.8542424475591821, 0.9370573773608326]",1,14
4,4.274687169515779e-30,true,14,false,0.0003551,"[4.209086555026496, 1.270269768796467]","[-0.4169926351649334, 2.0289114854525314]",1,15
4,6.339940892692686e-29,true,14,false,0.0004516,"[6.1720893125258325, 1.110911192202869]","[-0.4169926351649334, 2.0289114854525314]",1,16
19,1.6460597922198928e-28,true,14,false,0.0003821,"[4.434913604841189, 1.1853282778230432]","[-0.3188700715740966, -2.249739828113134]",1,17
14,3.587238474204588e-29,true,14,false,0.000348,"[4.194012381011987, 1.2291856645572097]","[0.3158331001728098, 0.7859141337249973]",1,18
18,2.339675469186248e-30,true,14,false,0.0003331,"[6.504191625783259, 1.1182595542683968]","[0.3417821366484886, 0.5080857763662175]",1,19
4,4.504685408911016e-30,true,14,false,0.0003786,"[6.916001583994713, 1.079968014577846]","[-0.4169926351649334, 2.0289114854525314]",1,20
10,3.706198054043578e-30,true,14,false,0.0004553,"[6.526181776060586, 1.099512733421785]","[-0.11732280453081337, -0.8280567719469374]",1,21
9,3.195488256997291e-30,true,14,false,0.0005033,"[6.2275746554093185, 1.0742067602690302]","[0.0694591410918936, -2.0538554561632223]",1,22
8,2.710892889178756e-29,true,14,false,0.0003837,"[4.502008408369035, 1.24261066795345]","[-1.355590621101197, 0.6001322727540475]",1,23
3,1.2750706658089233e-28,true,14,false,0.0003495,"[6.592540075587605, 1.084128171719794]","[-1.1046361023292959, 0.18025374632691527]",1,24
6,3.854663505082999e-30,true,14,false,0.0004068,"[4.355926272288373, 1.2296978528329385]","[0.2298186980518676, 0.4694770042412599]",1,25
13,2.6580453987394576e-29,true,14,false,0.000381,"[4.214823850827935, 1.2447571214558697]","[-0.031148130349280094, 0.3646547529502906]",1,26
19,2.236045468828025e-31,true,14,false,0.0004537,"[5.086663541864143, 1.2074350815481572]","[-0.3188700715740966, -2.249739828113134]",1,27
6,8.47034434529616e-30,true,14,false,0.0004277,"[-0.7549404892875365, 1.5821747398329178]","[0.2298186980518676, 0.4694770042412599]",1,28
10,2.1840996176585044e-29,true,14,false,0.0004065,"[4.470863783686386, 1.227190253510692]","[-0.11732280453081337, -0.8280567719469374]",1,29
16,3.360375756335828e-30,true,14,false,0.000345,"[6.77471082416975, 1.0672605570231841]","[-0.8900766562698114, -1.2890210708540353]",1,30
3,1.0599883013967619e-29,true,14,false,0.0004621,"[3.8295127181511996, 1.25400573663331]","[-1.1046361023292959, 0.18025374632691527]",1,31
6,7.635422968390035e-32,true,14,false,0.0004331,"[2.4794507882961305, 1.3735568008771049]","[0.2298186980518676, 0.4694770042412599]",1,32
16,1.543966715179911e-28,true,14,false,0.0004962,"[5.805821219432643, 1.1692979974995448]","[-0.8900766562698114, -1.2890210708540353]",1,33
4,6.417850892096996e-29,true,14,false,0.0005596,"[7.696013049658751, 1.0191611800615816]","[-0.4169926351649334, 2.0289114854525314]",1,34
5,1.0399653253306929e-29,true,14,false,0.0004063,"[5.70590289724451, 1.167604763471606]","[0.28758798062385577, -0.12763690272983585]",1,35
15,4.505803960776452e-29,true,14,false,0.0004277,"[7.035188541736755, 1.0994801477159168]","[-2.1623790026403724, 0.1706378785324274]",1,36
1,1.2584228839886773e-28,true,14,false,0.0005546,"[5.684612890286752, 1.1599704609600154]","[0.8082879284649668, 2.008112624852031]",1,37
7,1.8723078839379892e-29,true,14,false,0.0003623,"[5.099806714050841, 1.1863246459591588]","[-0.4217686643996927, -1.5268834666380147]",1,38
5,4.68911309456463e-30,true,14,false,0.0004254,"[3.495638179545893, 1.2725856245033693]","[0.28758798062385577, -0.12763690272983585]",1,39
5,2.1323855881294603e-30,true,14,false,0.0005603,"[2.68286111784227, 1.3483200989952173]","[0.28758798062385577, -0.12763690272983585]",1,40
18,1.2879706063408038e-28,true,14,false,0.0004592,"[5.483841396649199, 1.1075615048780043]","[0.3417821366484886, 0.5080857763662175]",1,41
13,2.043153927770066e-29,true,14,false,0.0003745,"[6.856105624957275, 1.0910718425138581]","[-0.031148130349280094, 0.3646547529502906]",1,42
8,4.172430964492747e-30,true,14,false,0.0004637,"[3.9588575934154564, 1.2246174525235027]","[-1.355590621101197, 0.6001322727540475]",1,43
9,2.6001187406665727e-30,true,14,false,0.0005251,"[8.415172166868384, 0.9558683503217943]","[0.0694591410918936, -2.0538554561632223]",1,44
9,5.6216125308458646e-30,true,14,false,0.000534,"[4.437762175279792, 1.2642992928879764]","[0.0694591410918936, -2.0538554561632223]",1,45
9,4.573039799975781e-31,true,14,false,0.0004304,"[5.2277753454621685, 1.1702247823131142]","[0.0694591410918936, -2.0538554561632223]",1,46
1,6.811123979524969e-31,true,14,false,0.000408,"[5.5760345110458225, 1.1828803826926315]","[0.8082879284649668, 2.008112624852031]",1,47
4,3.2451294624166166e-30,true,14,false,0.000538,"[4.379606584955136, 1.2509038618487878]","[-0.4169926351649334, 2.0289114854525314]",1,48
9,1.4335840286952765e-30,true,14,false,0.0004839,"[4.467268196312951, 1.2345138393371047]","[0.0694591410918936, -2.0538554561632223]",1,49
15,2.598757940166891e-30,true,14,false,0.000363,"[7.022147474571435, 1.0371483066283562]","[-2.1623790026403724, 0.1706378785324274]",1,50
13,1.9166431563970984e-28,true,14,false,0.0004463,"[2.2589311335818016, 1.3446603520308407]","[-0.031148130349280094, 0.3646547529502906]",1,51
8,9.692927925620059e-29,true,14,false,0.000408,"[5.231481550191719, 1.1791802018610857]","[-1.355590621101197, 0.6001322727540475]",1,52
5,8.030718083349153e-31,true,14,false,0.0005162,"[3.467095760217355, 1.2661830217548395]","[0.28758798062385577, -0.12763690272983585]",1,53
7,7.268706655946934e-29,true,14,false,0.000483,"[4.252563451463088, 1.2677525664779306]","[-0.4217686643996927, -1.5268834666380147]",1,54
15,1.3226146697408712e-28,true,14,false,0.0003701,"[5.530614832720174, 1.1583840785127095]","[-2.1623790026403724, 0.1706378785324274]",1,55
3,2.506223506188508e-30,true,14,false,0.0004351,"[5.4380588590059755, 1.1869438087183013]","[-1.1046361023292959, 0.18025374632691527]",1,56
4,1.0890459825684326e-30,true,14,false,0.0004965,"[0.265857258032976, 1.5180432806740571]","[-0.4169926351649334, 2.0289114854525314]",1,57
4,5.89734659961522e-31,true,14,false,0.0006443,"[3.5843280585129036, 1.2642107478475098]","[-0.4169926351649334, 2.0289114854525314]",1,58
7,3.885306790113721e-29,true,14,false,0.0003578,"[4.6875700276957035, 1.1698582110699596]","[-0.4217686643996927, -1.5268834666380147]",1,59
17,1.0716387973453644e-30,true,14,false,0.0003929,"[2.8941395661255624, 1.3545970507425542]","[0.8542424475591821, 0.9370573773608326]",1,60
20,3.8403060015493e-30,true,14,false,0.0003793,"[6.046498216364715, 1.095665074520914]","[-0.33745447783309457, 0.12530157347367626]",1,61
7,1.8106390633976737e-29,true,14,false,0.0004326,"[4.287169542827959, 1.257857746221087]","[-0.4217686643996927, -1.5268834666380147]",1,62
1,3.481570105504105e-31,true,14,false,0.0004887,"[4.483721894572829, 1.1943124509761607]","[0.8082879284649668, 2.008112624852031]",1,63
10,5.28684813783899e-30,true,14,false,0.0002971,"[3.427311935253103, 1.2853819126027914]","[-0.11732280453081337, -0.8280567719469374]",1,64
5,6.033170643542488e-30,true,14,false,0.0007215,"[3.303379558857659, 1.3162079416321877]","[0.28758798062385577, -0.12763690272983585]",1,65
5,3.523888137511604e-30,true,14,false,0.0007283,"[8.062980422638645, 0.9995703637206413]","[0.28758798062385577, -0.12763690272983585]",1,66
9,9.085690498362408e-30,true,14,false,0.0003674,"[2.0295727405513397, 1.372354008723027]","[0.0694591410918936, -2.0538554561632223]",1,67
20,6.2938405076037335e-30,true,14,false,0.0004005,"[2.4703004925228407, 1.3537329259947737]","[-0.33745447783309457, 0.12530157347367626]",1,68
1,4.529130095151443e-30,true,14,false,0.0003223,"[5.234955293666688, 1.211073228576157]","[0.8082879284649668, 2.008112624852031]",1,69
1,1.0895101199643885e-28,true,14,false,0.0004258,"[4.410382921853111, 1.2132568139866526]","[0.8082879284649668, 2.008112624852031]",1,70
7,2.8267797973633906e-30,true,14,false,0.0003291,"[3.308203309657775, 1.321246668812276]","[-0.4217686643996927, -1.5268834666380147]",1,71
11,3.3368901200815937e-29,true,14,false,0.0003995,"[4.089606109803212, 1.2720554659457703]","[1.2192815097319654, 1.9026327297429109]",1,72
16,1.7629898806677251e-31,true,14,false,0.0004106,"[9.179807486359083, 0.941097248995444]","[-0.8900766562698114, -1.2890210708540353]",1,73
7,2.4943473937306544e-30,true,14,false,0.0006708,"[4.110172254821931, 1.2721549279286093]","[-0.4217686643996927, -1.5268834666380147]",1,74
1,1.0597079136011585e-28,true,14,false,0.0003602,"[5.164092775254707, 1.1519401603814043]","[0.8082879284649668, 2.008112624852031]",1,75
13,5.498293876231495e-31,true,14,false,0.0002613,"[3.4897916832043867, 1.2938526677305113]","[-0.031148130349280094, 0.3646547529502906]",1,76
11,8.318885953116e-31,true,14,false,0.0002783,"[6.435383572465726, 1.096071214828236]","[1.2192815097319654, 1.9026327297429109]",1,77
2,3.674787840277449e-29,true,14,false,0.0003773,"[2.471217774708956, 1.3457457148069112]","[-1.1220725081141734, 0.7650300179102025]",1,78
3,1.6308530396131432e-29,true,14,false,0.0002889,"[2.3683658033668262, 1.3207575546036097]","[-1.1046361023292959, 0.18025374632691527]",1,79
19,1.2471780155082668e-29,true,14,false,0.0002563,"[4.378901000197699, 1.276618331953094]","[-0.3188700715740966, -2.249739828113134]",1,80
2,1.1486635936124131e-29,true,14,false,0.0002783,"[3.141794200213415, 1.3266703692436868]","[-1.1220725081141734, 0.7650300179102025]",1,81
20,1.3429071558747405e-30,true,14,false,0.0002897,"[1.8893007050483077, 1.3762243583031344]","[-0.33745447783309457, 0.12530157347367626]",1,82
14,1.07623134340502e-30,true,14,false,0.0004873,"[3.0388336930397, 1.3218099656962632]","[0.3158331001728098, 0.7859141337249973]",1,83
14,1.524077884431225e-30,true,14,false,0.0003261,"[3.945677847474782, 1.2800462136813398]","[0.3158331001728098, 0.7859141337249973]",1,84
1,8.669282744177783e-31,true,14,false,0.0004142,"[2.1965244818051897, 1.3435082298527217]","[0.8082879284649668, 2.008112624852031]",1,85
10,1.3080808223985938e-28,true,14,false,0.0003512,"[2.6410457766600195, 1.3120708731538415]","[-0.11732280453081337, -0.8280567719469374]",1,86
11,7.10714353122343e-30,true,14,false,0.0005044,"[8.441220070795756, 0.9443179774565974]","[1.2192815097319654, 1.9026327297429109]",1,87
1,1.237444494642287e-31,true,14,false,0.0003656,"[7.523848557322017, 0.9898186066250063]","[0.8082879284649668, 2.008112624852031]",1,88
3,9.644657978819537e-30,true,14,false,0.0005267,"[3.52574286478542, 1.2873941648694884]","[-1.1046361023292959, 0.18025374632691527]",1,89
19,2.5274783882841833e-31,true,14,false,0.0002592,"[4.107674060402624, 1.2552440490422367]","[-0.3188700715740966, -2.249739828113134]",1,90
12,9.686676584916532e-29,true,14,false,0.0002561,"[4.737726237837132, 1.1904288153498914]","[0.29291433452245674, 0.6596379523048166]",1,91
10,2.7022411066651595e-30,true,14,false,0.0002625,"[6.40287368323729, 1.1139745698115073]","[-0.11732280453081337, -0.8280567719469374]",1,92
15,2.336423492145836e-30,true,14,false,0.0002958,"[3.790304362397413, 1.2668794347788521]","[-2.1623790026403724, 0.1706378785324274]",1,93
2,5.58857981459924e-30,true,14,false,0.0002963,"[4.473120911679594, 1.2191600723713512]","[-1.1220725081141734, 0.7650300179102025]",1,94
1,1.693821328142056e-30,true,14,false,0.0004394,"[10.440023695574626, 0.867120187906233]","[0.8082879284649668, 2.008112624852031]",1,95
3,3.0868383594618323e-30,true,14,false,0.0003841,"[5.263867741397831, 1.1452622730039235]","[-1.1046361023292959, 0.18025374632691527]",1,96
4,6.0951623896359665e-30,true,14,false,0.0003035,"[7.551277548748725, 1.0572226196659247]","[-0.4169926351649334, 2.0289114854525314]",1,97
14,1.0328301490601732e-30,true,14,false,0.0002712,"[1.896432825871867, 1.3850022227423198]","[0.3158331001728098, 0.7859141337249973]",1,98
1,1.845022620030537e-30,true,14,false,0.0003387,"[4.183641409645456, 1.23887862823213]","[0.8082879284649668, 2.008112624852031]",1,99
14,5.145923737693047e-30,true,14,false,0.0003015,"[3.777570282864076, 1.2931903094825117]","[0.3158331001728098, 0.7859141337249973]",1,100
15,5.264119158953174e-30,true,14,false,0.0002744,"[3.885417383210901, 1.2150061085613233]","[-2.1623790026403724, 0.1706378785324274]",1,101
5,3.5893476721817365e-28,true,14,false,0.0002732,"[3.85220765811878, 1.2864302974158548]","[0.28758798062385577, -0.12763690272983585]",1,102
18,1.0074984680292652e-29,true,14,false,0.0003009,"[4.369345517058274, 1.1758860174410768]","[0.3417821366484886, 0.5080857763662175]",1,103
11,1.155981971774311e-30,true,14,false,0.0002911,"[4.901751309040847, 1.2058897226623455]","[1.2192815097319654, 1.9026327297429109]",1,104
10,2.074760604773938e-28,true,14,false,0.0002823,"[6.330308856371795, 1.0962002643117565]","[-0.11732280453081337, -0.8280567719469374]",1,105
1,9.504270179785545e-30,true,14,false,0.0004443,"[2.8468307689936387, 1.2818824092634018]","[0.8082879284649668, 2.008112624852031]",1,106
5,1.4878865672077519e-30,true,14,false,0.0002861,"[7.179841807158184, 1.0819229762784972]","[0.28758798062385577, -0.12763690272983585]",1,107
19,2.384849563724642e-31,true,14,false,0.000276,"[5.481001516058803, 1.1353759623972912]","[-0.3188700715740966, -2.249739828113134]",1,108
19,5.6239195421230055e-30,true,14,false,0.0004512,"[4.357690412830916, 1.239170853296669]","[-0.3188700715740966, -2.249739828113134]",1,109
13,3.3429407769493066e-28,true,14,false,0.000262,"[2.9726905846591802, 1.3231951670849194]","[-0.031148130349280094, 0.3646547529502906]",1,110
3,1.2119466042182357e-31,true,14,false,0.0002897,"[4.635432739589383, 1.183033328504372]","[-1.1046361023292959, 0.18025374632691527]",1,111
4,8.435002200694089e-30,true,14,false,0.000259,"[7.025700668675558, 1.061337189686638]","[-0.4169926351649334, 2.0289114854525314]",1,112
7,3.704164323379141e-29,true,14,false,0.0003776,"[4.3958075487197545, 1.2295281146542962]","[-0.4217686643996927, -1.5268834666380147]",1,113
20,3.78982316654371e-31,true,14,false,0.0002968,"[7.9465839662387285, 1.0061321813131117]","[-0.33745447783309457, 0.12530157347367626]",1,114
6,2.0387537519640338e-30,true,14,false,0.000259,"[7.070078550147992, 1.0781361616978704]","[0.2298186980518676, 0.4694770042412599]",1,115
10,1.0831045686918856e-29,true,14,false,0.0004764,"[7.376599466500933, 1.0387656150794493]","[-0.11732280453081337, -0.8280567719469374]",1,116
