idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
1,3.585441629846332e-24,true,2,false,0.0002895,"[-0.35073019945771544, 1.5220901126115063]","[0.03833248646601629, 0.213845359778582]",0,1
2,3.959139790070294e-23,true,2,false,0.0002336,"[-0.3507301992275123, 1.5220901125967747]","[-0.7042838077754542, -0.4007992090593657]",0,1
3,3.7538877244168024e-26,true,3,false,0.0002198,"[-0.3507301994099139, 1.5220901126084472]","[1.4214984593810815, -0.5777261953257666]",0,1
4,3.401908457416549e-22,true,2,false,0.0001982,"[-0.35073019888513407, 1.5220901125748676]","[-0.4658959078249555, -0.7303008298610437]",0,1
5,7.332687125722328e-26,true,3,false,0.0002155,"[-0.35073019939709893, 1.5220901126076274]","[-1.365080912437378, -1.3208174975844296]",0,1
6,3.408532311399242e-23,true,2,false,0.0001538,"[-0.3507301992400488, 1.5220901125975776]","[0.5431992343373382, 0.09271546518564394]",0,1
7,1.8982036614075907e-24,true,1,false,0.0001077,"[-0.35073019936587735, 1.522090112605629]","[-0.7590535993444354, 0.9209639329677229]",0,1
8,3.7204298289955186e-23,true,3,false,0.0001731,"[-0.35073019923277815, 1.522090112597113]","[0.745620993889791, -2.216096423049429]",0,1
9,1.9159877689216385e-24,true,2,false,0.0001567,"[-0.3507301994434673, 1.5220901126105943]","[0.8442354651341021, -0.3265277272261217]",0,1
10,3.888973190989167e-23,true,1,false,0.0001355,"[-0.3507301992288072, 1.5220901125968587]","[-1.0120757369891493, 1.1470306234136702]",0,1
11,1.5725933731515175e-22,true,2,false,0.0003521,"[-0.35073019975748787, 1.5220901126306878]","[0.7232770971838263, -0.728534008508048]",0,1
12,5.057648539796908e-24,true,1,false,0.0001213,"[-0.35073019934121075, 1.522090112604051]","[0.5202990342876057, 1.1204520037446837]",0,1
13,1.931200960919768e-24,true,2,false,0.0001512,"[-0.35073019944348416, 1.5220901126105955]","[1.6996228215478644, 1.0844860147154771]",0,1
