idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum
1,8.651052234317503e-9,true,57,false,0.0010315,"[4.966752612107708, 1.1913939736560546]","[0.3868906181410992, 0.3882138376060267]",0
2,1.769292534707142e-9,true,64,false,0.0012733,"[4.971096079848621, 1.1911234161443445]","[-0.3570076815475169, 0.5923354762196267]",0
3,2.6693810867718213e-11,true,61,false,0.0015664,"[4.969884850040365, 1.191198790702932]","[-0.12282911128251359, -0.017644783799314667]",0
4,2.070685599252077e-9,true,65,false,0.0012392,"[4.969174391111986, 1.1912432296184607]","[0.21429333211340856, -0.19375324038587238]",0
5,3.448540163526608e-11,true,80,false,0.0014485,"[4.969674846981722, 1.1912118710192008]","[-0.15865347729786533, -0.05150573687963167]",0
6,4.648590771655999e-9,true,77,false,0.0014138,"[4.968891539067611, 1.1912609329330368]","[-0.012285049050975827, -0.5664845759872389]",0
7,6.177840327879865e-10,true,75,false,0.0018984,"[4.969903630752308, 1.1911975398559278]","[-0.0749608845567665, 0.3844328292246204]",0
8,8.882161967532211e-10,true,68,false,0.001131,"[4.968809108295772, 1.1912658189826377]","[-0.026009308855465995, 0.19189655822548035]",0
9,2.961029034783473e-9,true,60,false,0.001252,"[4.970018241448786, 1.1911902832936112]","[-0.11968802375936494, 0.4976308888438483]",0
10,8.637405559136987e-10,true,55,false,0.0011066,"[4.97005906905954, 1.191187842771046]","[0.368602643667336, 0.5930165758791903]",0
11,1.2406236133016196e-9,true,58,false,0.001288,"[4.968648754865126, 1.1912757819542055]","[0.28952963562745865, 0.10454690341763728]",0
12,3.3654316026433894e-9,true,68,false,0.0022991,"[4.971605499828088, 1.1910915504263735]","[-0.09961989065212026, 0.5378093958997268]",0
13,1.0736819882015159e-8,true,65,false,0.0022314,"[4.968052288289884, 1.1913133183110576]","[-0.030795484730096766, 0.5168708454296822]",0
14,5.747918269851866e-11,true,58,false,0.0022882,"[4.9698317416930715, 1.1912020864069186]","[0.231502896015002, -0.2504778556353351]",0
15,1.003222153151415e-9,true,54,false,0.0012408,"[4.969236452250938, 1.191239091047544]","[0.35105864204746445, -0.34456035169640675]",0
16,1.5835181363986156e-9,true,69,false,0.0013972,"[4.970147756399344, 1.1911825841032069]","[0.2532804257635733, 0.17887056952829172]",0
17,6.544266406817523e-9,true,55,false,0.0014496,"[4.972071388284646, 1.1910624355820758]","[0.4472975434734672, 0.3617229280231933]",0
18,5.250466493670797e-9,true,54,false,0.0016522,"[4.972029892962902, 1.191065086395851]","[-0.3238833559319541, 0.33809563061714165]",0
19,3.527357647556561e-9,true,54,false,0.0012875,"[4.971002026848375, 1.191129403547787]","[0.39971733488910755, 0.7064839737347128]",0
20,4.9677272433553484e-9,true,61,false,0.0015442,"[4.971603810014336, 1.191091907278508]","[0.44640712810585675, 0.34279266952302945]",0
21,8.602344976181993e-9,true,58,false,0.0014552,"[4.9676276148197545, 1.1913391540639036]","[0.126836900640366, -0.4812464366656172]",0
22,1.694793648099417e-11,true,57,false,0.0018027,"[4.969663229443226, 1.1912126181740594]","[-0.4492981202635245, 0.12460547778749764]",1
23,3.7804666501293574e-10,true,62,false,0.0012012,"[4.970331358552637, 1.191170951869612]","[0.3267011342453058, 0.058560880741487464]",0
24,8.935333306617002e-9,true,64,false,0.0017828,"[4.972875149182078, 1.1910124770444794]","[-0.29851926849121757, 0.28918838036246797]",0
25,7.22942311999916e-10,true,56,false,0.0013489,"[4.970657701456512, 1.191150689847699]","[-0.4123025762965116, 0.10662287085500843]",0
26,1.7388723340536324e-9,true,60,false,0.0015121,"[4.971149295768609, 1.1911200717087782]","[0.26254450418619507, -0.38976733114283957]",0
27,1.3783382173294777e-9,true,71,false,0.0011684,"[4.970970069185753, 1.1911312488895351]","[-0.09618431162914858, -0.14350201379023542]",0
28,3.1115383638846534e-10,true,65,false,0.0015466,"[4.970133431412243, 1.191183266294769]","[0.07310399465937696, -0.7245671674773508]",0
29,2.9310624203284416e-8,true,52,false,0.0013451,"[4.973771205333752, 1.190957204633364]","[0.29330721600947346, -0.6254428183109236]",0
30,1.21420101477297e-9,true,70,false,0.0022772,"[4.9708242973163435, 1.1911403496345399]","[0.0401993516711042, -0.013416622173963555]",0
31,1.0907380220691414e-8,true,69,false,0.0012847,"[4.971205862850497, 1.1911161390734193]","[-0.07618440227235079, 0.643381058213961]",0
32,1.952159691163792e-9,true,68,false,0.0023773,"[4.970859306624228, 1.191137986794776]","[0.04605758831592821, 0.08642130424775751]",0
33,1.4558784515867722e-9,true,60,false,0.0014655,"[4.968645869441337, 1.1912760496878483]","[0.09932051248209901, 0.025605599745194052]",0
34,6.406503567520265e-10,true,66,false,0.0024233,"[4.969223641533153, 1.1912399221496026]","[-0.26734121688310575, -0.2500817445541724]",0
35,4.6548605616373356e-9,true,66,false,0.0016004,"[4.969328623075377, 1.191233190030723]","[0.16606489559639637, -0.3945453467672224]",0
36,1.900685091108587e-9,true,58,false,0.0011776,"[4.9688818087440225, 1.1912611548374645]","[-0.2634727122010098, 0.5690262109873763]",0
37,1.1650746328956094e-9,true,61,false,0.001177,"[4.970461876782156, 1.1911629735925562]","[0.26845544898029, 0.195722915296201]",0
38,1.254139752595981e-9,true,66,false,0.0021374,"[4.970947236669539, 1.1911326523565564]","[0.033264315123915186, 0.022396534940240742]",0
39,7.766625958569983e-9,true,69,false,0.0017219,"[4.972132680245264, 1.191058576942916]","[0.08240551593379176, -0.3355905358523899]",0
40,6.6699152510788145e-9,true,60,false,0.0011045,"[4.9710214147434595, 1.19112829943085]","[-0.21837952462173663, 0.6819735960300124]",0
41,9.029864334991676e-10,true,62,false,0.0014556,"[4.968912755470045, 1.1912594171985442]","[-0.19194908102276778, 0.04312519715069296]",0
42,1.5645578448407953e-9,true,60,false,0.0012592,"[4.970074149595647, 1.1911868619894972]","[-0.2891363263340463, -0.39342755815199887]",0
43,9.333392378026784e-10,true,58,false,0.0012652,"[4.969091017145585, 1.1912483451651905]","[0.3525470579552222, -0.49023994317839964]",0
44,2.994455123785325e-10,true,63,false,0.0021532,"[4.970110747023404, 1.1911847939234317]","[-0.18668779964193397, 0.6626329914987164]",0
45,6.839099648885108e-10,true,53,false,0.0009772,"[4.969059463142261, 1.191250168063189]","[0.2480045442723905, 0.5852639293426234]",0
46,5.462027713737253e-9,true,69,false,0.0011471,"[4.967712092049178, 1.191333999567048]","[-0.3669930753535204, -0.04097737900496812]",0
47,2.154704694594571e-9,true,66,false,0.0023069,"[4.968269123655903, 1.191299474604996]","[0.4064548335754464, -0.27621940530113587]",0
48,3.4198999293315752e-9,true,68,false,0.0021648,"[4.968360966095716, 1.1912935773390536]","[-0.06335269694614495, 0.2694726149255884]",0
49,1.2266485073482418e-10,true,66,false,0.0019344,"[4.969997258077982, 1.191191842640322]","[-0.28263202119984415, -0.6105967446083242]",0
50,2.204371445224392e-9,true,74,false,0.0023896,"[4.971315611062684, 1.1911097181486205]","[-0.019208692190332322, 0.35517934765031933]",0
51,4.0618565137874917e-10,true,72,false,0.0013475,"[4.969446593383532, 1.1912261767050594]","[-0.0767815758853554, -0.6647194464316821]",0
52,1.9885489371956854e-10,true,59,false,0.0014232,"[4.9702296265789325, 1.191177311707956]","[0.4177331021232472, -0.47124530595074426]",0
53,1.526512223286804e-8,true,72,false,0.0023696,"[4.966416437000274, 1.191414585895176]","[-0.20496763420100367, -0.07195620975073891]",0
54,1.7492843351545755e-10,true,54,false,0.0027907,"[4.970087918510308, 1.1911861974802629]","[0.34194790370981987, 0.5253645436526426]",0
55,6.133057337346461e-9,true,66,false,0.0014168,"[4.972237901518081, 1.1910523333701077]","[-0.23714652923323087, 0.3253771624565467]",0
56,1.2411075379338694e-9,true,62,false,0.0019472,"[4.970954690729141, 1.1911321586708457]","[-0.3733898567919205, -0.5951813797709511]",0
57,2.991075779922927e-9,true,60,false,0.001417,"[4.9703835758090955, 1.191167535062461]","[0.3419629634669572, -0.6685925481382942]",0
58,2.8561514544662663e-10,true,64,false,0.0020955,"[4.969619842823533, 1.1912153800827807]","[-0.3898288750999961, -0.7235666927147004]",0
59,1.288314608439153e-10,true,57,false,0.0013549,"[4.970166432530421, 1.1911812714970003]","[0.12100312406949003, 0.6282889590790424]",0
60,4.762930569239264e-9,true,61,false,0.0011301,"[4.9675850240671835, 1.1913420009833224]","[-0.41997711098118246, -0.09018739220716476]",0
61,5.967596073526651e-9,true,57,false,0.0009265,"[4.9720108433838, 1.1910665278789094]","[0.11142058174680644, -0.7162535539315886]",0
62,4.030032837900583e-11,true,57,false,0.0010517,"[4.969722561015521, 1.1912088935304181]","[-0.2463606764917016, -0.3447702739487886]",0
63,2.21308166486031e-10,true,80,false,0.0016504,"[4.969320092762987, 1.1912340040094245]","[0.04791740553103558, -0.6026523120761957]",0
64,2.5319334847581386e-10,true,54,false,0.0009979,"[4.970219156338226, 1.1911780206126363]","[0.422616669935086, 0.11744469881494246]",0
65,1.5833757840587738e-8,true,59,false,0.0015525,"[4.967180254095207, 1.1913668922988672]","[-0.3412435813638139, 0.3750632818996982]",0
66,6.136638427230865e-9,true,57,false,0.000982,"[4.9718781664645055, 1.191074455264939]","[-0.40498037657625885, -0.09525647913945523]",0
