idx,obj_value,converged,errored,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
1,Inf,false,true,,,,"[missing, missing]","[0.6364138660614915, 0.2604202723600453]",0,1
2,Inf,false,true,,,,"[missing, missing]","[11.726360942783431, -0.9272799029227115]",0,1
3,Inf,false,true,,,,"[missing, missing]","[0.7698717462614191, -0.32823517370596766]",0,1
4,3.37901185380328e-25,true,false,13,false,0.000365,"[3.4575423579439897, 1.264320252172009]","[-13.655459849475267, 1.3000598618314951]",0,1
5,Inf,false,true,,,,"[missing, missing]","[2.416799456236234, -0.5182863622311493]",0,1
6,2.3111843866343756e-27,true,false,13,false,0.0004362,"[3.457542357965035, 1.2643202521706822]","[0.8098775639095956, 1.0086857251564538]",0,1
7,1.066191955236426e-27,true,false,14,false,0.0004148,"[3.4575423579634688, 1.2643202521707808]","[-13.772815919169224, -0.1043954838563328]",0,1
8,Inf,false,true,,,,"[missing, missing]","[-4.120520207446727, -1.1933861805337216]",0,1
9,Inf,false,true,,,,"[missing, missing]","[6.603076784709887, 0.22085772740591736]",0,1
10,Inf,false,true,,,,"[missing, missing]","[4.9340543618078625, -0.6139004857356011]",0,1
11,2.961077762045935e-28,true,false,14,false,0.0004051,"[3.4575423579634705, 1.2643202521707808]","[-6.702076614751001, 1.4503071333595194]",1,1
12,Inf,false,true,,,,"[missing, missing]","[11.426924724474192, -0.7979495826778349]",0,1
13,Inf,false,true,,,,"[missing, missing]","[-3.5715186214167405, -1.1041688023815013]",0,1
14,Inf,false,true,,,,"[missing, missing]","[-12.351269426031646, -0.5594852564768137]",0,1
15,8.88218655602792e-28,true,false,14,false,0.0181735,"[3.457542357963475, 1.2643202521707806]","[-1.0917076702525708, 0.6409077674586237]",0,1
16,Inf,false,true,,,,"[missing, missing]","[-8.822252715398701, -1.2283465073466582]",0,1
17,Inf,false,true,,,,"[missing, missing]","[2.457370271629369, -0.5656574978848413]",0,1
18,Inf,false,true,,,,"[missing, missing]","[-11.365574384456192, -0.8864105480389216]",0,1
19,Inf,false,true,,,,"[missing, missing]","[-3.399295112731391, -1.4442840012301845]",0,1
20,2.732710032265604e-25,true,false,13,false,0.0002806,"[3.457542357945913, 1.2643202521718877]","[-12.834578288957793, 1.2427397578313797]",0,1
1,Inf,false,true,,,,"[missing, missing]","[0.6364138660614915, 0.2604202723600453]",0,2
2,Inf,false,true,,,,"[missing, missing]","[11.726360942783431, -0.9272799029227115]",0,2
3,Inf,false,true,,,,"[missing, missing]","[0.7698717462614191, -0.32823517370596766]",0,2
4,9.92043733497973e-28,true,false,14,false,0.0003309,"[4.700845655803426, 1.2036439751761057]","[-13.655459849475267, 1.3000598618314951]",0,2
5,Inf,false,true,,,,"[missing, missing]","[2.416799456236234, -0.5182863622311493]",0,2
6,3.844316939234369e-28,true,false,13,false,0.0002812,"[4.700845655802814, 1.2036439751761436]","[0.8098775639095956, 1.0086857251564538]",0,2
7,4.652538312973456e-27,true,false,13,false,0.0002433,"[4.700845655805651, 1.2036439751759676]","[-13.772815919169224, -0.1043954838563328]",0,2
8,Inf,false,true,,,,"[missing, missing]","[-4.120520207446727, -1.1933861805337216]",0,2
9,Inf,false,true,,,,"[missing, missing]","[6.603076784709887, 0.22085772740591736]",0,2
10,Inf,false,true,,,,"[missing, missing]","[4.9340543618078625, -0.6139004857356011]",0,2
11,3.5045719416978015e-28,true,false,14,false,0.0004823,"[4.700845655803491, 1.2036439751761017]","[-6.702076614751001, 1.4503071333595194]",0,2
12,Inf,false,true,,,,"[missing, missing]","[11.426924724474192, -0.7979495826778349]",0,2
13,Inf,false,true,,,,"[missing, missing]","[-3.5715186214167405, -1.1041688023815013]",0,2
14,Inf,false,true,,,,"[missing, missing]","[-12.351269426031646, -0.5594852564768137]",0,2
15,1.2155861143326966e-27,true,false,14,false,0.000718,"[4.700845655803459, 1.2036439751761037]","[-1.0917076702525708, 0.6409077674586237]",0,2
16,Inf,false,true,,,,"[missing, missing]","[-8.822252715398701, -1.2283465073466582]",0,2
17,Inf,false,true,,,,"[missing, missing]","[2.457370271629369, -0.5656574978848413]",0,2
18,Inf,false,true,,,,"[missing, missing]","[-11.365574384456192, -0.8864105480389216]",0,2
19,Inf,false,true,,,,"[missing, missing]","[-3.399295112731391, -1.4442840012301845]",0,2
20,3.1367712468034534e-28,true,false,14,false,0.0005459,"[4.700845655803461, 1.2036439751761034]","[-12.834578288957793, 1.2427397578313797]",1,2
1,Inf,false,true,,,,"[missing, missing]","[0.6364138660614915, 0.2604202723600453]",0,3
2,Inf,false,true,,,,"[missing, missing]","[11.726360942783431, -0.9272799029227115]",0,3
3,Inf,false,true,,,,"[missing, missing]","[0.7698717462614191, -0.32823517370596766]",0,3
4,2.776738195383498e-29,true,false,14,false,0.0005474,"[3.8144784204209783, 1.2482046796435344]","[-13.655459849475267, 1.3000598618314951]",0,3
5,Inf,false,true,,,,"[missing, missing]","[2.416799456236234, -0.5182863622311493]",0,3
6,8.245181312811236e-28,true,false,13,false,0.0004606,"[3.8144784204213042, 1.248204679643514]","[0.8098775639095956, 1.0086857251564538]",0,3
7,3.2847990317828016e-27,true,false,13,false,0.0004314,"[3.8144784204226636, 1.2482046796434285]","[-13.772815919169224, -0.1043954838563328]",0,3
8,Inf,false,true,,,,"[missing, missing]","[-4.120520207446727, -1.1933861805337216]",0,3
9,Inf,false,true,,,,"[missing, missing]","[6.603076784709887, 0.22085772740591736]",0,3
10,Inf,false,true,,,,"[missing, missing]","[4.9340543618078625, -0.6139004857356011]",0,3
11,2.7403603252351617e-28,true,false,14,false,0.0004479,"[3.814478420421007, 1.2482046796435327]","[-6.702076614751001, 1.4503071333595194]",0,3
12,Inf,false,true,,,,"[missing, missing]","[11.426924724474192, -0.7979495826778349]",0,3
13,Inf,false,true,,,,"[missing, missing]","[-3.5715186214167405, -1.1041688023815013]",0,3
14,Inf,false,true,,,,"[missing, missing]","[-12.351269426031646, -0.5594852564768137]",0,3
15,4.160595900774942e-27,true,false,13,false,0.0004277,"[3.814478420422951, 1.2482046796434105]","[-1.0917076702525708, 0.6409077674586237]",0,3
16,Inf,false,true,,,,"[missing, missing]","[-8.822252715398701, -1.2283465073466582]",0,3
17,Inf,false,true,,,,"[missing, missing]","[2.457370271629369, -0.5656574978848413]",0,3
18,Inf,false,true,,,,"[missing, missing]","[-11.365574384456192, -0.8864105480389216]",0,3
19,Inf,false,true,,,,"[missing, missing]","[-3.399295112731391, -1.4442840012301845]",0,3
20,1.662305085855747e-29,true,false,14,false,0.0004949,"[3.8144784204209756, 1.2482046796435347]","[-12.834578288957793, 1.2427397578313797]",1,3
1,Inf,false,true,,,,"[missing, missing]","[0.6364138660614915, 0.2604202723600453]",0,4
2,Inf,false,true,,,,"[missing, missing]","[11.726360942783431, -0.9272799029227115]",0,4
3,Inf,false,true,,,,"[missing, missing]","[0.7698717462614191, -0.32823517370596766]",0,4
4,8.777067556059814e-28,true,false,14,false,0.0004835,"[8.211927377971206, 1.0145423137271439]","[-13.655459849475267, 1.3000598618314951]",0,4
5,Inf,false,true,,,,"[missing, missing]","[2.416799456236234, -0.5182863622311493]",0,4
6,8.786464723894692e-30,true,false,14,false,0.0005337,"[8.211927377971172, 1.0145423137271459]","[0.8098775639095956, 1.0086857251564538]",1,4
7,1.151265322701109e-28,true,false,14,false,0.0005194,"[8.211927377971197, 1.0145423137271443]","[-13.772815919169224, -0.1043954838563328]",0,4
8,Inf,false,true,,,,"[missing, missing]","[-4.120520207446727, -1.1933861805337216]",0,4
9,Inf,false,true,,,,"[missing, missing]","[6.603076784709887, 0.22085772740591736]",0,4
10,Inf,false,true,,,,"[missing, missing]","[4.9340543618078625, -0.6139004857356011]",0,4
11,1.7137820522346155e-28,true,false,14,false,0.0005546,"[8.211927377971222, 1.0145423137271428]","[-6.702076614751001, 1.4503071333595194]",0,4
12,Inf,false,true,,,,"[missing, missing]","[11.426924724474192, -0.7979495826778349]",0,4
13,Inf,false,true,,,,"[missing, missing]","[-3.5715186214167405, -1.1041688023815013]",0,4
14,Inf,false,true,,,,"[missing, missing]","[-12.351269426031646, -0.5594852564768137]",0,4
15,4.318500721894936e-28,true,false,14,false,0.0005198,"[8.211927377971207, 1.0145423137271437]","[-1.0917076702525708, 0.6409077674586237]",0,4
16,Inf,false,true,,,,"[missing, missing]","[-8.822252715398701, -1.2283465073466582]",0,4
17,Inf,false,true,,,,"[missing, missing]","[2.457370271629369, -0.5656574978848413]",0,4
18,Inf,false,true,,,,"[missing, missing]","[-11.365574384456192, -0.8864105480389216]",0,4
19,Inf,false,true,,,,"[missing, missing]","[-3.399295112731391, -1.4442840012301845]",0,4
